MA,FA,Cs,EA,Pb,Sn,Cl,Br,I,PCE,V_OC,J_SC,FF,Eg
0.9,0,0.1,0,1,0,0,0,3,13.955,1,197.7,0.742,1.606
0.9,0,0.1,0,0,1,0,0,3,0.33,0.2,45.3,0.364,1.305
0.8,0,0.2,0,1,0,0,0,3,4.58,1.04,67.6,0.65,1.57
0,0.78,0.22,0,1,0,0,0.45,2.55,20.39,1.204,207.2,0.817,1.68
0.77,0,0.23,0,1,0,0,0,3,18.95,1.07,228.4,0.775,1.644
0.15,0.6,0.25,0,1,0,0,0.3,2.7,17.1,1.07,199,0.805,1.64
0.15,0.6,0.25,0,1,0,0,0.51,2.49,13.8,1.13,181,0.674,1.68
0.15,0.6,0.25,0,1,0,0,0.6,2.4,14.1,1.12,178,0.705,1.7
0.15,0.6,0.25,0,1,0,0,0.72,2.28,15.3,1.12,179,0.764,1.72
0.15,0.6,0.25,0,1,0,0,0.9,2.1,13.6,1.17,167,0.696,1.76
0,0.75,0.25,0,0.5,0.5,0,0,3,13.1,0.72,267,0.71,1.24
0,0.75,0.25,0,1,0,0,0.3,2.7,16.65,1.081,221.7,0.725,1.57
0,0.75,0.25,0,1,0,0,0.51,2.49,12.4,1.021,209,0.58,1.63
0,0.75,0.25,0,1,0,0,0.6,2.4,14.6,1.166,172,0.726,1.7
0,0.75,0.25,0,1,0,0,0.6,2.4,18.43,1.154,196.6,0.78,1.68
0,0.75,0.25,0,1,0,0,0.9,2.1,17.29,1.203,184.8,0.756,1.729
0,0.75,0.25,0,1,0,0,0,3,9.28,1.11,159.95,0.66,1.575
0.6,0.2,0.2,0,1,0,0,0,3,20.1,1.13,230,0.75,1.64
0.48,0.32,0.2,0,1,0,0,0.2,2.8,7.64,0.013,8.89,0.68,1.607
0.14,0.66,0.2,0,0.25,0.75,0,0.5,2.5,10.39,0.7,207.4,0.67,1.28
0.14,0.66,0.2,0,0.5,0.5,0,0.5,2.5,10.4,0.75,220.7,0.61,1.31
0.14,0.66,0.2,0,0.75,0.25,0,0.5,2.5,9.96,0.78,175,0.69,1.38
0.14,0.66,0.2,0,1,0,0,0.5,2.5,8.575,1.04,118.5,0.64,1.6
0.14,0.66,0.2,0,0,1,0,0.5,2.5,0.23,0.39,13.4,0.41,1.42
0.08,0.72,0.2,0,1,0,0,0.03,2.97,15.2,1.01,218.2,0.68,1.62
0.05,0.75,0.2,0,1,0,0,0.51,2.49,15.2,1.022,207,0.72,1.63
0,0.8,0.2,0,0.25,0.75,0,0,3,7.83,0.56,244.4,0.572,1.2
0,0.8,0.2,0,0.3,0.7,0,0,3,13.5,0.76,251,0.76,1.35
0,0.8,0.2,0,0.5,0.5,0,0,3,12.815,0.735,249.5,0.6865,1.31
0,0.8,0.2,0,0.75,0.25,0,0,3,14.46,0.84,227.3,0.757,1.35
0,0.8,0.2,0,1,0,0.09,0.45,2.46,20.085,1.21,207.85,0.8145,1.66
0,0.8,0.2,0,1,0,0,0.6,2.4,17.695,1.13,208.3,0.788,1.68
0,0.8,0.2,0,1,0,0,0.75,2.25,17.6,1.17,204,0.773,1.67
0,0.8,0.2,0,1,0,0,0.9,2.1,15.95,1.189,179.2,0.748,1.75
0,0.8,0.2,0,1,0,0,1.05,1.95,12.1,1.08,151,0.73,1.76
0,0.8,0.2,0,1,0,0,1.2,1.8,15.2,1.216,156,0.775,1.82
0,0.8,0.2,0,1,0,0,1.5,1.5,11.35,1.18,130.2,0.739,1.82
0,0.8,0.2,0,1,0,0,0,3,15.72,1.015,228.6,0.6835,1.59
0,0.8,0.2,0,0,1,0,0,3,1.38,0.24,160.5,0.358,1.2
0.8,0,0.2,0,0.5,0.5,0,0,3,7.5,0.6,205.8,0.607,1.3
0.8,0,0.2,0,1,0,0,0,3,11.15,0.92,175,0.69,1.62
0,0.7,0.3,0,1,0,0,0,3,15.86,1.01,207.1,0.758,1.58
0.7,0,0.3,0,1,0,0,0,3,3.78,1.04,58.5,0.62,1.58
0.66,0,0.34,0,1,0,0,0,3,17.13,1.05,220.4,0.74,1.652
